MUNICIPIO,IDHM,IDHMR
Itaguaçu da BahiaBA,0.562,0.55
PotengiCE,0.562,0.529
Sebastião LealPI,0.562,0.516
Bom LugarMA,0.562,0.486
BrejoMA,0.562,0.517
Marcionílio SouzaBA,0.561,0.518
AtalaiaAL,0.561,0.545
BonitoPE,0.561,0.559
AnoriAM,0.561,0.54
GeminianoPI,0.561,0.524
Itaporanga D'AjudaSE,0.561,0.548
TuriaçuMA,0.561,0.493
Poço VerdeSE,0.561,0.563
TutóiaMA,0.561,0.543
América DouradaBA,0.561,0.506
João CostaPI,0.561,0.51
Cândido MendesMA,0.561,0.52
Antônio CardosoBA,0.561,0.544
Dirceu ArcoverdePI,0.561,0.563
Paulino NevesMA,0.561,0.481
Passagem Franca do PiauíPI,0.561,0.594
Socorro do PiauíPI,0.561,0.513
JoselândiaMA,0.561,0.533
CaatibaBA,0.561,0.579
JatobáMA,0.561,0.522
BonitoBA,0.561,0.552
Monsenhor HipólitoPI,0.561,0.591
Campo Grande do PiauíPI,0.56,0.545
SericitaMG,0.56,0.602
Eldorado dos CarajásPA,0.56,0.572
ArraialPI,0.56,0.514
BorbaAM,0.56,0.532
Goianésia do ParáPA,0.56,0.585
PilõesPB,0.56,0.559
NordestinaBA,0.56,0.507
AmaturáAM,0.56,0.499
São Gonçalo do GurguéiaPI,0.56,0.572
CondeBA,0.56,0.551
FagundesPB,0.56,0.543
OurolândiaBA,0.56,0.547
UnaBA,0.56,0.584
JapoatãSE,0.56,0.551
PlanaltoBA,0.56,0.557
Boqueirão do PiauíPI,0.56,0.555
Presidente Tancredo NevesBA,0.559,0.566
AratacaBA,0.559,0.557
Pedra GrandeRN,0.559,0.526
OlindinaBA,0.559,0.534
BetâniaPE,0.559,0.533
IrituiaPA,0.559,0.536
FátimaBA,0.559,0.554
QuebranguloAL,0.559,0.536
Pajeú do PiauíPI,0.559,0.56
GranjaCE,0.559,0.495
CampestreAL,0.559,0.55
São João da CanabravaPI,0.559,0.539
São João da VarjotaPI,0.559,0.536
SaloáPE,0.559,0.559
Gentio do OuroBA,0.559,0.523
Alto Alegre do PindaréMA,0.558,0.465
Bom Jesus das SelvasMA,0.558,0.537
GuaratingaBA,0.558,0.559
BorboremaPB,0.558,0.544
IbirapitangaBA,0.558,0.561
Bernardino BatistaPB,0.558,0.526
Pedra PretaRN,0.558,0.53
Rio VermelhoMG,0.558,0.566
Nova Olinda do NorteAM,0.558,0.541
MorparáBA,0.558,0.536
Espírito SantoRN,0.558,0.549
JacaraúPB,0.558,0.554
BaraúnaPB,0.558,0.526
São Sebastião da Boa VistaPA,0.558,0.52
Santo Antônio do ItambéMG,0.558,0.537
CaraíMG,0.558,0.549
PalestinaAL,0.558,0.505
Palmeira do PiauíPI,0.557,0.57
BarraBA,0.557,0.503
Serra Azul de MinasMG,0.557,0.537
Tobias BarretoSE,0.557,0.609
CareiroAM,0.557,0.515
Campo Alegre de LourdesBA,0.557,0.516
MontanhasRN,0.557,0.553
Santa Cruz do ArariPA,0.557,0.483
CansançãoBA,0.557,0.53
Barra de Santo AntônioAL,0.557,0.552
BeneditinosPI,0.557,0.561
Barreiras do PiauíPI,0.557,0.56
São José dos BasíliosMA,0.557,0.501
São Félix de BalsasMA,0.557,0.517
ImaculadaPB,0.557,0.524
Presidente SarneyMA,0.557,0.486
Floresta AzulBA,0.557,0.548
Lago VerdeMA,0.557,0.508
FloresPE,0.556,0.544
Santa LuziaBA,0.556,0.564
BuriticupuMA,0.556,0.533
São Miguel do TapuioPI,0.556,0.508
NinheiraMG,0.556,0.525
Formosa da Serra NegraMA,0.556,0.485
ItabaianinhaSE,0.556,0.555
JaguaripeBA,0.556,0.552
São José dos CordeirosPB,0.556,0.542
Jequiá da PraiaAL,0.556,0.517
PalmeirândiaMA,0.556,0.488
GurinhémPB,0.556,0.544
Venha-VerRN,0.555,0.501
SeridóPB,0.555,0.528
Cocal de TelhaPI,0.555,0.55
São Bento do NorteRN,0.555,0.541
CurralinhosPI,0.555,0.512
Nova SoureBA,0.555,0.548
Novo Oriente de MinasMG,0.555,0.568
PacatubaSE,0.555,0.514
Santa Quitéria do MaranhãoMA,0.555,0.49
JuremaPI,0.555,0.511
Tanque D'ArcaAL,0.555,0.531
TufilândiaMA,0.555,0.502
Riachão do PoçoPB,0.555,0.537
Várzea NovaBA,0.555,0.543
TeolândiaBA,0.555,0.541
Amarante do MaranhãoMA,0.555,0.541
AndaraíBA,0.555,0.54
CaraíbasBA,0.555,0.57
Nova Santa RitaPI,0.554,0.52
Bela Vista do MaranhãoMA,0.554,0.515
Alto Alegre do MaranhãoMA,0.554,0.516
Joaquim NabucoPE,0.554,0.561
PenalvaMA,0.554,0.519
TacaimbóPE,0.554,0.536
Avelino LopesPI,0.554,0.532
Novo AripuanãAM,0.554,0.532
São Luis do PiauíPI,0.554,0.52
Novo TriunfoBA,0.554,0.513
Oliveira dos BrejinhosBA,0.554,0.533
Monte Alegre de SergipeSE,0.553,0.539
Francisco MacedoPI,0.553,0.567
JiquiriçáBA,0.553,0.558
Imbé de MinasMG,0.553,0.572
Capitão Gervásio OliveiraPI,0.553,0.503
CajapióMA,0.553,0.466
ItaquaraBA,0.553,0.539
Água PretaPE,0.553,0.514
Várzea BrancaPI,0.553,0.518
CristinápolisSE,0.553,0.54
Riachão do BacamartePB,0.553,0.561
Lagoa de PedrasRN,0.553,0.529
São João do TigrePB,0.552,0.523
São José do JacuípeBA,0.552,0.555
São José do PiauíPI,0.552,0.569
CaracolPI,0.552,0.533
Cruz do Espírito SantoPB,0.552,0.531
IguaíBA,0.552,0.559
Junco do MaranhãoMA,0.552,0.55
IbimirimPE,0.552,0.533
QuipapáPE,0.552,0.53
ItaipéMG,0.552,0.57
Cardeal da SilvaBA,0.552,0.523
XexéuPE,0.552,0.549
PlacasPA,0.552,0.541
JaramataiaAL,0.552,0.532
Lagoa da CanoaAL,0.552,0.541
BujaruPA,0.552,0.495
ApuaremaBA,0.552,0.555
TacimaPB,0.551,0.513
Manoel UrbanoAC,0.551,0.586
Lagoa dos GatosPE,0.551,0.555
Porto Real do ColégioAL,0.551,0.513
Boa Vista do TupimBA,0.551,0.514
Belém do PiauíPI,0.551,0.537
Barra do ChoçaBA,0.551,0.563
Tomar do GeruSE,0.551,0.52
CajazeirinhasPB,0.55,0.521
Água FriaBA,0.55,0.529
Santa LuziaMA,0.55,0.525
Domingos MourãoPI,0.55,0.547
IpecaetáBA,0.55,0.506
MatõesMA,0.55,0.519
Cumaru do NortePA,0.55,0.635
MaranhãozinhoMA,0.55,0.497
Lagoa AlegrePI,0.55,0.538
JandaíraBA,0.55,0.511
JucatiPE,0.55,0.541
IpubiPE,0.55,0.541
São João do AraguaiaPA,0.55,0.53
Ielmo MarinhoRN,0.55,0.521
Morro do Chapéu do PiauíPI,0.55,0.536
IpiráBA,0.549,0.568
ParazinhoRN,0.549,0.543
Paulo RamosMA,0.549,0.546
Dom InocêncioPI,0.549,0.498
São SebastiãoAL,0.549,0.537
SaúdeBA,0.549,0.546
Altamira do MaranhãoMA,0.549,0.486
Água BrancaAL,0.549,0.527
CapoeirasPE,0.549,0.529
São Vicente FerrerPE,0.549,0.558
PortoPI,0.549,0.537
Santa CruzPE,0.549,0.522
Muquém de São FranciscoBA,0.549,0.488
AraçagiPB,0.549,0.54
PalmeirinaPE,0.549,0.554
CarauariAM,0.549,0.534
TonantinsAM,0.548,0.508
RurópolisPA,0.548,0.548
JacuípeAL,0.548,0.532
São DomingosPB,0.548,0.555
São Miguel de TaipuPB,0.548,0.516
MorrosMA,0.548,0.485
MariPB,0.548,0.553
BuritiMA,0.548,0.479
JuripirangaPB,0.548,0.544
AporáBA,0.548,0.516
AnapuPA,0.548,0.563
Santa Maria do CambucáPE,0.548,0.571
Capitão PoçoPA,0.548,0.573
AroeirasPB,0.548,0.537
PariconhaAL,0.548,0.526
AraraPB,0.548,0.569
Algodão de JandaíraPB,0.548,0.532
GilbuésPI,0.548,0.574
Fartura do PiauíPI,0.548,0.506
JeremoaboBA,0.547,0.561
Ouro BrancoAL,0.547,0.538
MuanáPA,0.547,0.54
MojuPA,0.547,0.578
Flores do PiauíPI,0.547,0.525
SerrariaPB,0.547,0.536
Igarapé-MiriPA,0.547,0.514
Nilo PeçanhaBA,0.547,0.531
BrejãoPE,0.547,0.54
Cajueiro da PraiaPI,0.546,0.551
LajedinhoBA,0.546,0.522
Santa BrígidaBA,0.546,0.533
CaémBA,0.546,0.535
Cachoeira do ArariPA,0.546,0.525
BonitoPA,0.546,0.531
MonçãoMA,0.546,0.499
Benedito LeiteMA,0.546,0.531
AdustinaBA,0.546,0.526
Doutor UlyssesPR,0.546,0.57
Santa Luzia do ParáPA,0.546,0.53
Coronel José DiasPI,0.546,0.518
IcatuMA,0.546,0.475
Bom Jesus da SerraBA,0.546,0.535
São José da VitóriaBA,0.546,0.553
Nova CanaãBA,0.545,0.554
Boa Vista do GurupiMA,0.545,0.515
Lagoa RealBA,0.545,0.535
MiradorMA,0.545,0.485
LuzilândiaPI,0.545,0.55
TerezinhaPE,0.545,0.536
Dona InêsPB,0.545,0.524
BatalhaPI,0.545,0.54
Santa Luzia do ItanhySE,0.545,0.513
Wall FerrazPI,0.544,0.513
Fruta de LeiteMG,0.544,0.548
Wenceslau GuimarãesBA,0.544,0.558
EncruzilhadaBA,0.544,0.533
Santa Maria das BarreirasPA,0.544,0.555
Campinas do PiauíPI,0.544,0.524
Campos LindosTO,0.544,0.578
Santa FilomenaPI,0.544,0.53
Governador Luiz RochaMA,0.544,0.508
ItiúbaBA,0.544,0.521
QuijingueBA,0.544,0.539
ManaíraPB,0.543,0.537
CrisópolisBA,0.543,0.542
QuatipuruPA,0.543,0.55
ItagiBA,0.543,0.543
Frei LagonegroMG,0.543,0.519
CurraisPI,0.542,0.49
Pedro RégisPB,0.542,0.529
Morro Cabeça no TempoPI,0.542,0.472
SetubinhaMG,0.542,0.536
CaetanosBA,0.542,0.536
Mãe D'ÁguaPB,0.542,0.52
Centro do GuilhermeMA,0.542,0.51
MirangabaBA,0.542,0.512
Vargem GrandeMA,0.542,0.487
Alto AlegreRR,0.542,0.518
ParnaramaMA,0.542,0.504
Presidente Jânio QuadrosBA,0.542,0.533
Bonfim do PiauíPI,0.542,0.542
ItainópolisPI,0.541,0.545
Pio XiiMA,0.541,0.535
Caridade do PiauíPI,0.541,0.52
TaquaranaAL,0.541,0.529
Lagoa do SítioPI,0.541,0.504
Monte FormosoMG,0.541,0.523
Luís CorreiaPI,0.541,0.544
JucuruçuBA,0.541,0.508
Limoeiro do AjuruPA,0.541,0.493
AveiroPA,0.541,0.47
CanhotinhoPE,0.541,0.543
NatubaPB,0.541,0.516
LadainhaMG,0.541,0.537
São José dos RamosPB,0.541,0.527
Padre MarcosPI,0.541,0.531
Porto de PedrasAL,0.541,0.542
Riacho FrioPI,0.541,0.483
São Benedito do Rio PretoMA,0.541,0.468
MatinhasPB,0.541,0.531
CatujiMG,0.54,0.534
Ribeirão do LargoBA,0.54,0.566
Dário MeiraBA,0.54,0.522
SalitreCE,0.54,0.497
São Luís Gonzaga do MaranhãoMA,0.54,0.503
AnagéBA,0.54,0.549
Brejo GrandeSE,0.54,0.515
Riachão do DantasSE,0.539,0.527
TarauacáAC,0.539,0.554
Miguel AlvesPI,0.539,0.533
MonteirópolisAL,0.539,0.497
São João de PirabasPA,0.539,0.529
FeijóAC,0.539,0.559
Várzea da RoçaBA,0.539,0.539
CampinápolisMT,0.538,0.597
Floresta do PiauíPI,0.538,0.53
BiritingaBA,0.538,0.525
Bom JardimMA,0.538,0.519
MaetingaBA,0.538,0.565
Senador Alexandre CostaMA,0.538,0.52
Novo RepartimentoPA,0.537,0.557
ParanatamaPE,0.537,0.528
Bonito de MinasMG,0.537,0.514
TimbirasMA,0.537,0.498
BacuritubaMA,0.537,0.474
Campo Alegre do FidalgoPI,0.537,0.528
Cachoeira GrandeMA,0.537,0.422
Capinzal do NorteMA,0.537,0.517
São Joaquim do MontePE,0.537,0.549
Girau do PoncianoAL,0.536,0.498
MataracaPB,0.536,0.533
São Luís do QuitundeAL,0.536,0.55
ArapongaMG,0.536,0.597
TurilândiaMA,0.536,0.495
Sebastião BarrosPI,0.536,0.508
CorrentesPE,0.536,0.551
Coronel João SáBA,0.535,0.545
São Miguel do FidalgoPI,0.535,0.505
Santana de MangueiraPB,0.535,0.488
Jacobina do PiauíPI,0.535,0.509
Humberto de CamposMA,0.535,0.443
MaraialPE,0.534,0.541
Estrela de AlagoasAL,0.534,0.515
AraciBA,0.534,0.534
SalgadinhoPE,0.534,0.516
LastroPB,0.533,0.532
Matões do NorteMA,0.533,0.452
Duque BacelarMA,0.533,0.485
AraguanãMA,0.533,0.483
CapimPB,0.533,0.52
Santa FilomenaPE,0.533,0.496
Coité do NóiaAL,0.533,0.52
Feira GrandeAL,0.533,0.512
Piraí do NorteBA,0.533,0.546
Passo de CamaragibeAL,0.533,0.513
Sítio do QuintoBA,0.533,0.552
Nossa Senhora dos RemédiosPI,0.533,0.503
Dois RiachosAL,0.532,0.513
Porto WalterAC,0.532,0.521
Bom Princípio do PiauíPI,0.532,0.526
Passagem FrancaMA,0.532,0.525
GuajaráAM,0.532,0.51
Feira Nova do MaranhãoMA,0.532,0.511
São Domingos do CapimPA,0.532,0.509
TraipuAL,0.532,0.499
CacimbinhasAL,0.531,0.559
LábreaAM,0.531,0.538
Joaquim GomesAL,0.531,0.509
TracuateuaPA,0.531,0.514
Alagoinha do PiauíPI,0.531,0.535
São Benedito do SulPE,0.53,0.499
São José da Lagoa TapadaPB,0.53,0.53
Fonte BoaAM,0.53,0.518
CanutamaAM,0.53,0.522
Murici dos PortelasPI,0.53,0.489
JataúbaPE,0.53,0.549
João DiasRN,0.53,0.495
São João das MissõesMG,0.529,0.502
Poço RedondoSE,0.529,0.519
MarcaçãoPB,0.529,0.525
Lagoa de São FranciscoPI,0.529,0.499
Afonso CunhaMA,0.529,0.471
Curral de CimaPB,0.529,0.528
AcauãPI,0.528,0.517
ItupirangaPA,0.528,0.543
TremedalBA,0.528,0.545
Novo Santo AntônioPI,0.528,0.536
Campo Largo do PiauíPI,0.528,0.479
PoçãoPE,0.528,0.542
São Francisco do MaranhãoMA,0.528,0.503
IatiPE,0.528,0.518
MiranteBA,0.527,0.524
AlvarãesAM,0.527,0.499
Curral Novo do PiauíPI,0.527,0.506
FlexeirasAL,0.527,0.528
Milagres do MaranhãoMA,0.527,0.465
MuriciAL,0.527,0.542
São José da TaperaAL,0.527,0.508
UariniAM,0.527,0.535
Sátiro DiasBA,0.527,0.524
BuíquePE,0.527,0.497
Garrafão do NortePA,0.526,0.54
PavussuPI,0.526,0.512
CarneirosAL,0.526,0.517
Águas BelasPE,0.526,0.546
Poço das TrincheirasAL,0.526,0.484
JaporãMS,0.526,0.547
Santa Filomena do MaranhãoMA,0.525,0.461
Massapê do PiauíPI,0.525,0.514
Olho D'Água do CasadoAL,0.525,0.527
Santa CecíliaPB,0.525,0.515
CraíbasAL,0.525,0.517
Poço DantasPB,0.525,0.506
Lagoa do OuroPE,0.525,0.536
MacajubaBA,0.524,0.515
Cuité de MamanguapePB,0.524,0.529
Campo GrandeAL,0.524,0.502
Nova ItaranaBA,0.524,0.508
JaicósPI,0.524,0.556
PrainhaPA,0.523,0.512
CacimbasPB,0.523,0.501
CajariMA,0.523,0.456
São João do ArraialPI,0.523,0.496
InajáPE,0.523,0.503
JuruáAM,0.522,0.538
CaetésPE,0.522,0.497
JapuráAM,0.522,0.552
Joaquim PiresPI,0.522,0.485
DamiãoPB,0.521,0.503
AraiosesMA,0.521,0.497
Governador Newton BelloMA,0.521,0.509
Novo LinoAL,0.521,0.546
São Paulo de OlivençaAM,0.521,0.471
Amapá do MaranhãoMA,0.52,0.503
Augusto CorrêaPA,0.52,0.48
Ribeira do PiauíPI,0.52,0.505
Serrano do MaranhãoMA,0.519,0.44
Aroeiras do ItaimPI,0.519,0.502
TupanatingaPE,0.519,0.494
Santana do MundaúAL,0.519,0.513
Aurora do ParáPA,0.519,0.504
Brejo de AreiaMA,0.519,0.507
Santo Amaro do MaranhãoMA,0.518,0.454
Itaipava do GrajaúMA,0.518,0.456
IbateguaraAL,0.518,0.517
Centro Novo do MaranhãoMA,0.518,0.508
Senador Rui PalmeiraAL,0.518,0.481
LamarãoBA,0.518,0.501
Santa Rosa do PurusAC,0.517,0.519
Belo MonteAL,0.517,0.507
São João do SoterMA,0.517,0.486
Colônia LeopoldinaAL,0.517,0.548
São Raimundo do Doca BezerraMA,0.516,0.478
Pedro do RosárioMA,0.516,0.475
São RobertoMA,0.516,0.475
JutaíAM,0.516,0.528
ViseuPA,0.515,0.482
São João da FronteiraPI,0.515,0.516
PacajáPA,0.515,0.541
UmburanasBA,0.515,0.469
Queimada NovaPI,0.515,0.49
Brejo do PiauíPI,0.515,0.531
Senador José PorfírioPA,0.514,0.533
Pau D'Arco do PiauíPI,0.514,0.488
CasserenguePB,0.514,0.492
Pedro AlexandreBA,0.513,0.489
BranquinhaAL,0.513,0.534
Aldeias AltasMA,0.513,0.5
Gado BravoPB,0.513,0.491
Ribeira do AmparoBA,0.512,0.503
Conceição do Lago-AçuMA,0.512,0.492
Primeira CruzMA,0.512,0.448
BeláguaMA,0.512,0.417
ArameMA,0.512,0.525
IbiqueraBA,0.511,0.517
Santana do MaranhãoMA,0.51,0.445
ItaíbaPE,0.51,0.531
PaquetáPI,0.509,0.519
GurupáPA,0.509,0.51
JuremaPE,0.509,0.522
São João do CarúMA,0.509,0.487
EnviraAM,0.509,0.521
Milton BrandãoPI,0.508,0.476
GuaribasPI,0.508,0.483
Oeiras do ParáPA,0.507,0.502
Pilão ArcadoBA,0.506,0.514
CanapiAL,0.506,0.504
Monte SantoBA,0.506,0.515
AcaráPA,0.506,0.517
BeruriAM,0.506,0.512
JacareacangaPA,0.505,0.577
Caraúbas do PiauíPI,0.505,0.48
RoteiroAL,0.505,0.524
Mata GrandeAL,0.504,0.506
Joca MarquesPI,0.504,0.501
Porto de MozPA,0.503,0.512
Vera MendesPI,0.503,0.494
Olho D'Água GrandeAL,0.503,0.473
BrevesPA,0.503,0.524
CurralinhoPA,0.502,0.508
Nova Esperança do PiriáPA,0.502,0.482
Lagoa do Barro do PiauíPI,0.502,0.474
TapauáAM,0.502,0.512
Lagoa Grande do MaranhãoMA,0.502,0.48
Marechal ThaumaturgoAC,0.501,0.479
Tamboril do PiauíPI,0.501,0.509
BarcelosAM,0.5,0.545
Água Doce do MaranhãoMA,0.5,0.494
RecursolândiaTO,0.5,0.49
Assunção do PiauíPI,0.499,0.462
MaraãAM,0.498,0.466
Cocal dos AlvesPI,0.498,0.504
CocalPI,0.497,0.516
PauiniAM,0.496,0.531
OlivençaAL,0.493,0.513
SatubinhaMA,0.493,0.45
Jenipapo dos VieirasMA,0.49,0.445
Santo Antônio do IçáAM,0.49,0.438
Betânia do PiauíPI,0.489,0.486
AfuáPA,0.489,0.485
Ipixuna do ParáPA,0.489,0.508
CaxingóPI,0.488,0.498
ManariPE,0.487,0.477
ItapicuruBA,0.486,0.505
São Francisco de Assis do PiauíPI,0.485,0.462
AnajásPA,0.484,0.506
AmajariRR,0.484,0.437
InhapiAL,0.484,0.501
PortelPA,0.483,0.513
IpixunaAM,0.481,0.476
Santa Isabel do Rio NegroAM,0.479,0.461
ItamaratiAM,0.477,0.529
Cachoeira do PiriáPA,0.473,0.449
BagrePA,0.471,0.481
JordãoAC,0.469,0.499
ChavesPA,0.453,0.516
UiramutãRR,0.453,0.439
Marajá do SenaMA,0.452,0.4
Atalaia do NorteAM,0.45,0.481
Fernando FalcãoMA,0.443,0.417
MelgaçoPA,0.418,0.454
Pinto BandeiraRS,0.659,0.642
são vicente férrerpe,0.659,0.642
santa izabel do paráPA,0.659,0.642
araçásBA,0.659,0.642
balneário rincãoSC,0.659,0.642
iguaracyPE,0.659,0.642
embu das artesSP,0.659,0.642
poxoréuMT,0.659,0.642
são vicente do seridóPB,0.659,0.642 
serra caiadaRN,0.659,0.642
Eldorado do CarajásPA,0.659,0.642
ItapajéCE,0.659,0.642
Muquém do São FranciscoBA,0.659,0.642
São Cristóvão do SulSC,0.659,0.642
Pescaria BravaSC,0.659,0.642
Olho d'Água do BorgesRN,0.659,0.642
BrazópolisMG,0.659,0.642
Pingo d'ÁguaMG,0.659,0.642
São Luiz do NorteGO,0.659,0.642
IuiuBA,0.659,0.642
Joca ClaudinoPB,0.659,0.642
Biritiba MirimSP,0.659,0.642
Lauro MüllerSC,0.659,0.642
Restinga SêcaRS,0.659,0.642
Passa VinteMG,0.659,0.642
Mojuí dos CamposPA,0.659,0.642
Atílio VivacquaES,0.659,0.642
São Luiz do ParaitingaSP,0.659,0.642
ItaocaSP,0.659,0.642
Vespasiano CorrêaRS,0.659,0.642
FloríneaSP,0.659,0.642
Paraíso das ÁguasMS,0.659,0.642
WestfáliaRS,0.659,0.642
Não-Me-ToqueRS,0.765,0.784
Coronel PachecoMG,0.669,0.673
São Félix do TocantinsTO,0.574,0.550
